代码,名称,行业,leader_type,leader_score,ret_20d,rs_20d,ret_5d,rs_5d,position,vol_ratio,pct_chg,amount_yi,turn,mktcap,signal,action,reason,position_120d,base_position_120d,box_range,breakout_pct,upper_shadow,price_break,vol_surge,trend_ok,position_ok,is_sideways,up_candle
sh.603203,快克智能,专用设备制造业,板块龙头+市场龙头,85.3,52.0,52.0,24.2,24.2,1.0,1.24,1.75,7.39,0.0,,,,,,,,,,,,,,,
sh.600563,法拉电子,计算机、通信和其他电子设备制造业,板块龙头+市场龙头,84.4,48.3,48.3,10.88,10.88,1.0,1.3,3.06,14.17,0.0,,,,,,,,,,,,,,,
sz.002782,可立克,计算机、通信和其他电子设备制造业,市场龙头,81.4,45.09,45.09,8.26,8.26,1.0,1.26,1.29,7.15,0.0,,,,,,,,,,,,,,,
sz.001331,胜通能源,燃气生产和供应业,板块龙头+市场龙头,81.1,40.88,40.88,22.64,22.64,1.0,1.64,2.87,10.3,7.39,,,,,,,,,,,,,,,
sz.002859,洁美科技,计算机、通信和其他电子设备制造业,市场龙头,80.3,42.86,42.86,24.02,24.02,1.0,1.35,6.46,9.63,0.0,,,,,,,,,,,,,,,
sh.603005,晶方科技,计算机、通信和其他电子设备制造业,市场龙头,77.9,38.34,38.34,21.98,21.98,0.976,1.81,2.33,37.72,0.0,,,,,,,,,,,,,,,
sh.600207,安彩高科,非金属矿物制品业,板块龙头+市场龙头,77.6,37.29,37.29,20.9,20.9,1.0,1.58,5.19,7.27,0.0,,,,,,,,,,,,,,,
sh.603681,永冠新材,化学原料和化学制品制造业,板块龙头+市场龙头,75.5,38.45,38.45,11.07,11.07,1.0,1.22,5.2,5.69,0.0,,,,,,,,,,,,,,,
sh.600460,士兰微,计算机、通信和其他电子设备制造业,市场龙头,73.4,33.39,33.39,24.73,24.73,1.0,1.47,8.46,55.94,0.0,,,,,,,,,,,,,,,
sh.603990,麦迪科技,软件和信息技术服务业,板块龙头+市场龙头,72.4,31.39,31.39,20.63,20.63,1.0,1.55,1.48,3.58,0.0,,,,,,,,,,,,,,,
sh.601958,金钼股份,有色金属矿采选业,板块龙头+市场龙头,71.7,35.19,35.19,22.77,22.77,0.979,1.34,6.23,22.18,0.0,,,,,,,,,,,,,,,
sh.603439,三力制药,医药制造业,板块龙头+市场龙头,70.5,28.25,28.25,10.78,10.78,0.975,1.93,1.12,2.68,0.0,,,,,,,,,,,,,,,
sh.603693,江苏新能,电力、热力生产和供应业,板块龙头+市场龙头,69.1,29.46,29.46,15.44,15.44,1.0,1.35,3.01,6.51,0.0,,,,,,,,,,,,,,,
sh.603290,斯达半导,计算机、通信和其他电子设备制造业,市场龙头,67.2,28.66,28.66,16.53,16.53,1.0,1.2,5.5,19.06,0.0,,,,,,,,,,,,,,,
sz.002768,国恩股份,橡胶和塑料制品业,板块龙头+市场龙头,67.0,27.24,27.24,5.92,5.92,1.0,1.32,5.46,7.28,0.0,,,,,,,,,,,,,,,
sz.002243,力合科创,,,,,,,,,1.89,9.36,2.78,,,True,BUY,横盘向上突破，放量确认,0.299,0.234,1.074,2.63,0.0,True,True,True,True,True,True
