code,industry
sh.600000,货币金融服务
sh.600004,航空运输业
sh.600006,汽车制造业
sh.600007,房地产业
sh.600008,水的生产和供应业
sh.600009,航空运输业
sh.600010,黑色金属冶炼和压延加工业
sh.600011,电力、热力生产和供应业
sh.600012,道路运输业
sh.600015,货币金融服务
sh.600016,货币金融服务
sh.600017,水上运输业
sh.600018,水上运输业
sh.600019,黑色金属冶炼和压延加工业
sh.600020,道路运输业
sh.600021,电力、热力生产和供应业
sh.600022,黑色金属冶炼和压延加工业
sh.600023,电力、热力生产和供应业
sh.600025,电力、热力生产和供应业
sh.600026,水上运输业
sh.600027,电力、热力生产和供应业
sh.600028,石油和天然气开采业
sh.600029,航空运输业
sh.600030,资本市场服务
sh.600031,专用设备制造业
sh.600032,电力、热力生产和供应业
sh.600033,道路运输业
sh.600035,道路运输业
sh.600036,货币金融服务
sh.600037,电信、广播电视和卫星传输服务
sh.600038,铁路、船舶、航空航天和其他运输设备制造业
sh.600039,土木工程建筑业
sh.600048,房地产业
sh.600050,电信、广播电视和卫星传输服务
sh.600051,批发业
sh.600052,商务服务业
sh.600053,资本市场服务
sh.600054,公共设施管理业
sh.600055,专用设备制造业
sh.600056,批发业
sh.600057,商务服务业
sh.600058,批发业
sh.600059,酒、饮料和精制茶制造业
sh.600060,计算机、通信和其他电子设备制造业
sh.600061,资本市场服务
sh.600062,医药制造业
sh.600063,化学原料和化学制品制造业
sh.600064,房地产业
sh.600066,汽车制造业
sh.600067,电气机械和器材制造业
sh.600071,仪器仪表制造业
sh.600072,土木工程建筑业
sh.600073,农副食品加工业
sh.600075,化学原料和化学制品制造业
sh.600076,木材加工和木、竹、藤、棕、草制品业
sh.600078,化学原料和化学制品制造业
sh.600079,医药制造业
sh.600080,医药制造业
sh.600081,汽车制造业
sh.600082,批发业
sh.600084,酒、饮料和精制茶制造业
sh.600085,医药制造业
sh.600088,广播、电视、电影和录音制作业
sh.600089,电气机械和器材制造业
sh.600094,房地产业
sh.600095,资本市场服务
sh.600096,化学原料和化学制品制造业
sh.600097,渔业
sh.600098,电力、热力生产和供应业
sh.600099,铁路、船舶、航空航天和其他运输设备制造业
sh.600100,计算机、通信和其他电子设备制造业
sh.600101,电力、热力生产和供应业
sh.600103,造纸和纸制品业
sh.600104,汽车制造业
sh.600105,电气机械和器材制造业
sh.600106,道路运输业
sh.600107,纺织服装、服饰业
sh.600108,农业
sh.600109,资本市场服务
sh.600110,计算机、通信和其他电子设备制造业
sh.600111,有色金属冶炼和压延加工业
sh.600113,商务服务业
sh.600114,金属制品业
sh.600115,航空运输业
sh.600116,电力、热力生产和供应业
sh.600117,黑色金属冶炼和压延加工业
sh.600118,计算机、通信和其他电子设备制造业
sh.600119,道路运输业
sh.600120,其他金融业
sh.600121,煤炭开采和洗选业
sh.600123,煤炭开采和洗选业
sh.600125,铁路运输业
sh.600126,黑色金属冶炼和压延加工业
sh.600127,农副食品加工业
sh.600128,批发业
sh.600129,医药制造业
sh.600130,计算机、通信和其他电子设备制造业
sh.600131,软件和信息技术服务业
sh.600132,酒、饮料和精制茶制造业
sh.600133,生态保护和环境治理业
sh.600135,化学原料和化学制品制造业
sh.600136,广播、电视、电影和录音制作业
sh.600137,纺织服装、服饰业
sh.600138,商务服务业
sh.600141,化学原料和化学制品制造业
sh.600143,橡胶和塑料制品业
sh.600148,汽车制造业
sh.600149,电力、热力生产和供应业
sh.600150,铁路、船舶、航空航天和其他运输设备制造业
sh.600151,电气机械和器材制造业
sh.600152,电气机械和器材制造业
sh.600153,商务服务业
sh.600155,资本市场服务
sh.600156,纺织业
sh.600157,电力、热力生产和供应业
sh.600158,体育
sh.600159,房屋建筑业
sh.600160,化学原料和化学制品制造业
sh.600161,医药制造业
sh.600162,房地产业
sh.600163,电力、热力生产和供应业
sh.600165,化学原料和化学制品制造业
sh.600166,汽车制造业
sh.600167,电力、热力生产和供应业
sh.600168,水的生产和供应业
sh.600169,专用设备制造业
sh.600170,土木工程建筑业
sh.600171,计算机、通信和其他电子设备制造业
sh.600172,非金属矿物制品业
sh.600173,房地产业
sh.600176,非金属矿物制品业
sh.600177,纺织服装、服饰业
sh.600178,汽车制造业
sh.600179,多式联运和运输代理业
sh.600180,批发业
sh.600182,橡胶和塑料制品业
sh.600183,计算机、通信和其他电子设备制造业
sh.600184,专用设备制造业
sh.600185,商务服务业
sh.600186,食品制造业
sh.600187,水的生产和供应业
sh.600188,煤炭开采和洗选业
sh.600189,酒、饮料和精制茶制造业
sh.600191,农副食品加工业
sh.600192,电气机械和器材制造业
sh.600193,建筑装饰、装修和其他建筑业
sh.600195,医药制造业
sh.600196,医药制造业
sh.600197,酒、饮料和精制茶制造业
sh.600198,计算机、通信和其他电子设备制造业
sh.600199,酒、饮料和精制茶制造业
sh.600201,医药制造业
sh.600202,通用设备制造业
sh.600203,计算机、通信和其他电子设备制造业
sh.600206,有色金属冶炼和压延加工业
sh.600207,非金属矿物制品业
sh.600208,房地产业
sh.600210,橡胶和塑料制品业
sh.600211,医药制造业
sh.600212,电气机械和器材制造业
sh.600215,通用设备制造业
sh.600216,医药制造业
sh.600217,废弃资源综合利用业
sh.600218,通用设备制造业
sh.600219,有色金属冶炼和压延加工业
