code,code_name,close,mktcap
sh.600000,浦发银行,8.86,2998.38
sh.600004,白云机场,8.28,197.4
sh.600006,东风股份,6.55,134.07
sh.600007,中国国贸,20.95,211.66
sh.600009,上海机场,25.6,527.76
sh.600011,华能国际,7.32,827.13
sh.600012,皖通高速,16.21,185.68
sh.600015,华夏银行,6.7,1023.2
sh.600021,上海电力,17.95,503.29
sh.600025,华能水电,9.33,1778.56
sh.600026,中远海能,22.62,845.91
sh.600030,中信证券,26.22,3204.72
sh.600031,三一重工,18.96,1664.47
sh.600032,浙江新能,10.95,261.31
sh.600036,招商银行,37.15,7721.53
sh.600037,歌华有线,7.6,110.22
sh.600038,中直股份,28.68,198.54
sh.600039,四川路桥,8.08,697.73
sh.600054,黄山旅游,11.12,57.65
sh.600055,万东医疗,14.0,95.9
sh.600056,中国医药,9.9,149.11
sh.600057,厦门象屿,6.38,135.82
sh.600058,五矿发展,10.24,116.98
sh.600059,古越龙山,8.35,77.44
sh.600060,海信视像,24.93,323.81
sh.600061,国投资本,6.45,415.15
sh.600062,华润双鹤,17.12,179.99
sh.600064,南京高科,7.4,132.05
sh.600066,宇通客车,31.71,712.93
sh.600071,凤凰光学,18.49,53.93
sh.600072,中船科技,12.6,141.3
sh.600078,澄星股份,14.3,103.36
sh.600081,东风科技,11.94,68.42
sh.600085,同仁堂,25.53,361.43
sh.600088,中视传媒,15.38,67.0
sh.600089,特变电工,25.91,1353.6
sh.600095,湘财股份,8.86,255.11
sh.600096,云天化,31.58,580.24
sh.600098,广州发展,7.19,258.07
sh.600100,同方股份,8.15,286.9
sh.600101,明星电力,9.52,54.84
sh.600104,上汽集团,12.4,1454.97
sh.600105,永鼎股份,46.29,736.36
sh.600109,国金证券,8.8,329.95
sh.600110,诺德股份,9.29,171.87
sh.600111,北方稀土,50.72,1873.64
sh.600113,浙江东日,37.68,171.1
sh.600114,东睦股份,34.96,206.81
sh.600116,三峡水利,6.52,128.48
sh.600118,中国卫星,85.27,1079.71
sh.600123,兰花科创,6.27,97.08
sh.600126,杭钢股份,8.14,294.76
sh.600129,太极集团,14.5,81.13
sh.600131,国网信通,17.63,217.25
sh.600132,重庆啤酒,52.21,255.55
sh.600133,东湖高新,8.95,101.47
sh.600135,乐凯胶片,10.7,61.99
sh.600138,中青旅,8.22,60.78
sh.600141,兴发集团,31.39,382.82
sh.600143,金发科技,17.54,464.12
sh.600150,中国船舶,38.4,2939.27
sh.600151,航天机电,14.92,217.9
sh.600152,维科技术,12.49,68.76
sh.600153,建发股份,9.55,285.35
sh.600156,华升股份,13.04,52.48
sh.600158,中体产业,11.41,121.58
sh.600160,巨化股份,32.58,916.84
sh.600161,天坛生物,13.64,267.82
sh.600163,中闽能源,6.35,127.64
sh.600167,联美控股,6.73,154.03
sh.600171,上海贝岭,28.43,209.89
sh.600172,黄河旋风,9.99,139.34
sh.600176,中国巨石,35.52,1397.86
sh.600177,雅戈尔,7.46,342.23
sh.600183,生益科技,98.19,2333.23
sh.600184,光电股份,26.22,161.38
sh.600186,莲花控股,10.68,194.44
sh.600188,兖矿能源,20.32,1274.23
sh.600189,泉阳泉,8.46,62.97
sh.600191,华资实业,10.66,52.89
sh.600195,中牧股份,6.88,72.51
sh.600196,复星医药,23.71,510.62
sh.600197,伊力特,12.49,58.15
sh.600198,大唐电信,8.64,120.37
sh.600199,金种子酒,8.48,53.02
sh.600201,生物股份,13.32,158.53
sh.600203,福日电子,11.97,74.35
sh.600206,有研新材,28.92,260.03
sh.600207,安彩高科,6.7,70.93
sh.600210,紫江企业,6.72,102.39
sh.600211,西藏药业,41.1,133.78
sh.600216,浙江医药,13.66,133.07
sh.600223,福瑞达,6.18,64.11
sh.600230,沧州大化,16.06,70.22
sh.600233,圆通速递,18.75,668.35
sh.600234,科新发展,23.62,67.45
sh.600236,桂冠电力,10.43,844.2
sh.600237,铜峰电子,9.49,57.83
sh.600246,万通发展,15.41,263.18
sh.600251,冠农股份,10.41,86.22
sh.600256,广汇能源,6.21,407.95
sh.600258,首旅酒店,13.59,152.39
sh.600259,中稀有色,86.85,309.7
sh.600267,海正药业,10.67,131.6
sh.600268,国电南自,13.8,151.25
sh.600271,航天信息,7.91,152.07
sh.600273,嘉化能源,7.62,103.59
sh.600276,恒瑞医药,51.45,3339.85
sh.600278,东方创业,6.9,60.57
sh.600284,浦东建设,7.06,71.22
sh.600285,羚锐制药,21.55,123.83
sh.600288,大恒科技,13.87,63.78
sh.600292,电投水电,14.1,64.9
sh.600295,鄂尔多斯,13.65,281.08
sh.600298,安琪酵母,36.42,309.36
sh.600299,安迪苏,11.21,316.42
sh.600301,华锡有色,52.55,150.93
sh.600305,恒顺醋业,7.21,80.12
sh.600309,万华化学,77.49,2500.4
sh.600312,平高电气,21.09,296.89
sh.600313,农发种业,6.16,70.8
sh.600315,上海家化,18.04,124.06
sh.600316,洪都航空,31.16,231.53
sh.600323,瀚蓝环境,30.55,249.47
sh.600326,西藏天路,8.34,119.28
sh.600328,中盐化工,7.24,113.01
sh.600329,达仁堂,41.45,242.0
sh.600330,天通股份,27.5,361.38
sh.600331,宏达股份,15.85,325.82
sh.600332,白云山,21.71,310.3
sh.600336,澳柯玛,8.06,64.84
sh.600338,西藏珠峰,19.93,190.54
sh.600343,航天动力,32.5,220.54
sh.600345,长江通信,51.02,116.56
sh.600346,恒力石化,18.95,1425.58
sh.600348,华阳股份,8.97,335.96
sh.600350,山东高速,11.92,554.41
sh.600352,浙江龙盛,11.45,380.89
sh.600353,旭光电子,21.69,185.46
sh.600360,华微电子,12.07,111.68
sh.600362,江西铜业,43.48,932.16
sh.600363,联创光电,39.23,185.89
sh.600366,宁波韵升,12.74,144.07
sh.600367,红星发展,24.82,81.25
sh.600372,中航机载,11.8,590.98
sh.600373,中文传媒,7.93,109.04
sh.600377,宁沪高速,12.34,468.23
sh.600378,昊华科技,35.06,385.61
sh.600379,宝光股份,13.31,51.92
sh.600380,健康元,10.17,189.42
sh.600382,广东明珠,8.86,59.21
sh.600388,龙净环保,19.27,239.63
sh.600389,江山股份,25.47,112.73
sh.600391,航发科技,44.06,142.39
sh.600392,盛和资源,23.07,420.41
sh.600396,华电辽能,14.23,231.01
sh.600397,江钨装备,12.77,134.61
